Episode    227 | Return:    16.8 | Distance:   5.13m | Steps:  305 | fell
Episode    228 | Return:    16.5 | Distance:   5.08m | Steps:  301 | fell
Episode    229 | Return:    26.5 | Distance:   7.11m | Steps:  673 | fell
Episode    230 | Return:    16.5 | Distance:   5.08m | Steps:  337 | fell
Episode    231 | Return:    48.9 | Distance:  11.54m | Steps: 1119 | fell
Episode    232 | Return:    16.8 | Distance:   5.14m | Steps:  307 | fell
Episode    233 | Return:    17.4 | Distance:   5.22m | Steps:  341 | flipped
Episode    234 | Return:     8.8 | Distance:   3.43m | Steps: 1500 | no_progress
Episode    235 | Return:    28.7 | Distance:   7.57m | Steps:  703 | fell
Episode    236 | Return:    45.5 | Distance:  10.84m | Steps:  721 | flipped
Episode    237 | Return:    15.0 | Distance:   4.68m | Steps: 1500 | no_progress
Episode    238 | Return:    17.0 | Distance:   5.41m | Steps: 3750 | no_progress
Episode    239 | Return:    55.0 | Distance:  12.75m | Steps:  980 | flipped
Episode    240 | Return:    29.7 | Distance:   7.73m | Steps:  757 | flipped
Episode    241 | Return:    17.3 | Distance:   5.36m | Steps: 1227 | flipped
Episode    242 | Return:    20.1 | Distance:   5.93m | Steps: 1500 | no_progress
Episode    243 | Return:   113.8 | Distance:  24.54m | Steps: 1923 | fell
Episode    244 | Return:    36.5 | Distance:   9.07m | Steps:  660 | fell
Episode    245 | Return:    16.4 | Distance:   5.05m | Steps:  373 | fell
Episode    246 | Return:    41.8 | Distance:  10.13m | Steps:  745 | fell
Episode    247 | Return:    29.8 | Distance:   7.72m | Steps:  592 | flipped
Episode    248 | Return:   137.0 | Distance:  29.19m | Steps: 2532 | fell
Episode    249 | Return:    39.5 | Distance:   9.69m | Steps:  733 | fell
Episode    250 | Return:    71.4 | Distance:  16.05m | Steps:  898 | fell
Episode    251 | Return:    30.5 | Distance:   7.82m | Steps:  482 | flipped
Episode    252 | Return:    16.5 | Distance:   5.06m | Steps:  320 | fell
Episode    253 | Return:    17.3 | Distance:   5.21m | Steps:  403 | flipped
Episode    254 | Return:    28.3 | Distance:   7.58m | Steps: 1300 | fell
Episode    255 | Return:    20.6 | Distance:   5.91m | Steps:  375 | flipped
Episode    256 | Return:    66.6 | Distance:  15.09m | Steps:  861 | fell
Episode    257 | Return:    39.5 | Distance:   9.66m | Steps:  600 | fell
Episode    258 | Return:    17.0 | Distance:   5.19m | Steps:  269 | fell
Episode    259 | Return:    17.9 | Distance:   5.31m | Steps:  599 | flipped
Episode    260 | Return:    19.0 | Distance:   5.69m | Steps: 1500 | no_progress
Episode    261 | Return:    46.8 | Distance:  11.14m | Steps:  674 | fell
Episode    262 | Return:    17.9 | Distance:   5.33m | Steps:  589 | flipped
Episode    263 | Return:    16.5 | Distance:   5.08m | Steps:  273 | fell
Episode    264 | Return:    39.7 | Distance:   9.72m | Steps:  699 | flipped
Episode    265 | Return:    58.8 | Distance:  13.53m | Steps:  822 | fell
Episode    266 | Return:    17.2 | Distance:   5.19m | Steps:  345 | flipped
Episode    267 | Return:    69.2 | Distance:  15.60m | Steps: 1140 | fell
Episode    268 | Return:    18.0 | Distance:   5.36m | Steps:  367 | flipped
Episode    269 | Return:    19.7 | Distance:   5.76m | Steps: 1500 | no_progress
Episode    270 | Return:    37.1 | Distance:   9.19m | Steps:  697 | flipped
Episode    271 | Return:    26.4 | Distance:   7.04m | Steps:  476 | fell
Episode    272 | Return:    65.4 | Distance:  14.84m | Steps: 1275 | flipped
Episode    273 | Return:    39.8 | Distance:   9.72m | Steps:  670 | flipped
Episode    274 | Return:   125.4 | Distance:  26.83m | Steps: 1991 | flipped
Episode    275 | Return:    20.2 | Distance:   5.84m | Steps: 1500 | no_progress
Episode    276 | Return:    17.0 | Distance:   5.15m | Steps:  260 | flipped
Episode    277 | Return:    41.5 | Distance:  10.07m | Steps:  734 | fell
Episode    278 | Return:    18.0 | Distance:   5.35m | Steps:  319 | flipped
Episode    279 | Return:    25.8 | Distance:   7.07m | Steps: 1058 | fell
Episode    280 | Return:    28.7 | Distance:   7.73m | Steps: 1253 | flipped
Episode    281 | Return:    53.0 | Distance:  12.56m | Steps: 1441 | fell
Episode    282 | Return:    39.7 | Distance:   9.70m | Steps:  754 | fell
Episode    283 | Return:    27.0 | Distance:   7.18m | Steps:  356 | fell
Episode    284 | Return:    17.0 | Distance:   5.19m | Steps:  389 | fell
Episode    285 | Return:    38.8 | Distance:   9.54m | Steps: 1022 | fell
Episode    286 | Return:    17.0 | Distance:   5.17m | Steps:  343 | fell
Episode    287 | Return:    30.7 | Distance:   7.95m | Steps:  785 | fell
Episode    288 | Return:    50.0 | Distance:  12.05m | Steps: 1700 | fell
Episode    289 | Return:    16.4 | Distance:   5.04m | Steps:  318 | fell
Episode    290 | Return:    19.4 | Distance:   5.60m | Steps: 1500 | no_progress
Episode    291 | Return:    73.0 | Distance:  16.36m | Steps:  962 | flipped
Episode    292 | Return:    26.8 | Distance:   7.13m | Steps:  584 | flipped
Episode    293 | Return:    16.6 | Distance:   5.08m | Steps:  287 | fell
Episode    294 | Return:   109.1 | Distance:  23.61m | Steps: 1386 | fell
Episode    295 | Return:    66.4 | Distance:  15.39m | Steps: 3000 | no_progress
Episode    296 | Return:    29.5 | Distance:   7.67m | Steps:  417 | flipped
Episode    297 | Return:    72.9 | Distance:  16.43m | Steps: 2250 | no_progress
Episode    298 | Return:    61.4 | Distance:  14.04m | Steps:  921 | fell
Episode    299 | Return:    42.2 | Distance:  10.20m | Steps:  624 | fell
Episode    300 | Return:    18.0 | Distance:   5.34m | Steps:  368 | flipped
