Episode    339 | Return:    26.7 | Distance:   7.12m | Steps:  460 | fell
Episode    340 | Return:    51.5 | Distance:  12.07m | Steps:  838 | fell
Episode    341 | Return:    44.1 | Distance:  10.59m | Steps:  660 | fell
Episode    342 | Return:    16.5 | Distance:   5.07m | Steps:  308 | fell
Episode    343 | Return:    41.5 | Distance:  10.09m | Steps:  759 | fell
Episode    344 | Return:    17.7 | Distance:   5.31m | Steps:  467 | flipped
Episode    345 | Return:    16.7 | Distance:   5.10m | Steps:  296 | fell
Episode    346 | Return:    61.9 | Distance:  14.33m | Steps: 2250 | no_progress
Episode    347 | Return:    29.4 | Distance:   7.66m | Steps:  612 | fell
Episode    348 | Return:    16.4 | Distance:   5.04m | Steps:  316 | fell
Episode    349 | Return:    26.7 | Distance:   7.14m | Steps:  735 | flipped
Episode    350 | Return:    29.9 | Distance:   7.72m | Steps:  487 | flipped
Episode    351 | Return:    71.0 | Distance:  16.04m | Steps: 1348 | fell
Episode    352 | Return:    27.4 | Distance:   7.23m | Steps:  501 | flipped
Episode    353 | Return:    48.9 | Distance:  11.56m | Steps:  819 | fell
Episode    354 | Return:    16.7 | Distance:   5.11m | Steps:  420 | fell
Episode    355 | Return:    17.8 | Distance:   5.31m | Steps:  488 | flipped
Episode    356 | Return:    29.3 | Distance:   7.61m | Steps:  447 | fell
Episode    357 | Return:    18.0 | Distance:   5.36m | Steps:  352 | flipped
Episode    358 | Return:    38.9 | Distance:   9.55m | Steps:  623 | fell
Episode    359 | Return:    28.0 | Distance:   7.34m | Steps:  679 | flipped
Episode    360 | Return:    62.8 | Distance:  14.36m | Steps: 2250 | no_progress
Episode    361 | Return:   135.2 | Distance:  28.83m | Steps: 2298 | flipped
Episode    362 | Return:    41.4 | Distance:  10.05m | Steps:  656 | fell
Episode    363 | Return:    86.3 | Distance:  19.23m | Steps: 3000 | no_progress
Episode    364 | Return:    59.2 | Distance:  13.63m | Steps:  856 | fell
Episode    365 | Return:    17.6 | Distance:   5.28m | Steps:  339 | flipped
