======================================================================
TRAINING SESSION - 2026-02-09 17:06:38
======================================================================
Episode  152: no_progress | Steps: 1500 | Distance:   5.72m | Reward:   19.2 | Corridor: holes+50%bumps+random | Seed: 3521
Episode  153: flipped     | Steps:  931 | Distance:   7.71m | Reward:   29.8 | Corridor: holes+50%bumps+random | Seed: 9294
Episode  154: no_progress | Steps: 1500 | Distance:   5.55m | Reward:   18.2 | Corridor: holes+50%bumps+random | Seed: 5841
Episode  155: fell        | Steps:  610 | Distance:   5.05m | Reward:   16.3 | Corridor: holes+50%bumps+random | Seed: 9108
Episode  156: flipped     | Steps:  573 | Distance:   5.30m | Reward:   17.7 | Corridor: holes+50%bumps+random | Seed: 8171
Episode  157: fell        | Steps: 2368 | Distance:  14.04m | Reward:   59.9 | Corridor: holes+50%bumps+random | Seed: 9710
Episode  158: no_progress | Steps: 2250 | Distance:  12.34m | Reward:   51.4 | Corridor: holes+50%bumps+random | Seed: 6088
Episode  159: fell        | Steps:  770 | Distance:   5.45m | Reward:   18.1 | Corridor: holes+50%bumps+random | Seed: 4048
Episode  160: fell        | Steps:  536 | Distance:   5.07m | Reward:   16.5 | Corridor: holes+50%bumps+random | Seed: 6310
Episode  161: flipped     | Steps:  643 | Distance:   7.25m | Reward:   27.5 | Corridor: holes+50%bumps+random | Seed: 4638
Episode  162: flipped     | Steps: 1411 | Distance:   5.33m | Reward:   16.7 | Corridor: holes+50%bumps+random | Seed: 7347
Episode  163: no_progress | Steps: 3000 | Distance:  15.09m | Reward:   65.1 | Corridor: holes+50%bumps+random | Seed: 4837
Episode  164: fell        | Steps:  457 | Distance:   5.07m | Reward:   16.5 | Corridor: holes+50%bumps+random | Seed: 3163
Episode  165: flipped     | Steps:  685 | Distance:   5.35m | Reward:   18.0 | Corridor: holes+50%bumps+random | Seed: 9377
Episode  166: fell        | Steps: 1493 | Distance:   7.06m | Reward:   25.4 | Corridor: holes+50%bumps+random | Seed: 3205
Episode  167: no_progress | Steps: 1500 | Distance:   7.62m | Reward:   28.4 | Corridor: holes+50%bumps+random | Seed: 7699
Episode  168: no_progress | Steps: 1500 | Distance:   7.39m | Reward:   26.8 | Corridor: holes+50%bumps+random | Seed: 2346
Episode  169: no_progress | Steps: 1500 | Distance:   5.91m | Reward:   19.0 | Corridor: holes+50%bumps+random | Seed: 8373
Episode  170: no_progress | Steps: 1500 | Distance:   5.67m | Reward:   18.0 | Corridor: holes+50%bumps+random | Seed: 4341
Episode  171: no_progress | Steps: 1500 | Distance:   5.87m | Reward:   19.8 | Corridor: holes+50%bumps+random | Seed: 836
Episode  172: flipped     | Steps:  627 | Distance:   5.22m | Reward:   17.4 | Corridor: holes+50%bumps+random | Seed: 9928
Episode  173: flipped     | Steps:  851 | Distance:   7.70m | Reward:   29.7 | Corridor: holes+50%bumps+random | Seed: 897
Episode  174: fell        | Steps:  929 | Distance:   7.05m | Reward:   26.0 | Corridor: holes+50%bumps+random | Seed: 4063
Episode  175: flipped     | Steps: 1371 | Distance:  14.26m | Reward:   62.5 | Corridor: holes+50%bumps+random | Seed: 8520
Episode  176: no_progress | Steps: 2250 | Distance:  10.79m | Reward:   44.2 | Corridor: holes+50%bumps+random | Seed: 8249
Episode  177: fell        | Steps:  493 | Distance:   5.04m | Reward:   16.4 | Corridor: holes+50%bumps+random | Seed: 863
Episode  178: no_progress | Steps: 1500 | Distance:   5.85m | Reward:   19.3 | Corridor: holes+50%bumps+random | Seed: 4784
Episode  179: flipped     | Steps:  969 | Distance:   9.72m | Reward:   39.9 | Corridor: holes+50%bumps+random | Seed: 8552
Episode  180: no_progress | Steps: 3000 | Distance:  15.50m | Reward:   66.4 | Corridor: holes+50%bumps+random | Seed: 6067
Episode  181: flipped     | Steps:  547 | Distance:   5.35m | Reward:   18.1 | Corridor: holes+50%bumps+random | Seed: 7748
Episode  182: no_progress | Steps: 1500 | Distance:   5.61m | Reward:   18.0 | Corridor: holes+50%bumps+random | Seed: 5104
Episode  183: flipped     | Steps: 3891 | Distance:  35.26m | Reward:  167.2 | Corridor: holes+50%bumps+random | Seed: 5823
Episode  184: no_progress | Steps: 3000 | Distance:  17.57m | Reward:   78.2 | Corridor: holes+50%bumps+random | Seed: 4070
Episode  185: flipped     | Steps: 1351 | Distance:  14.21m | Reward:   62.2 | Corridor: holes+50%bumps+random | Seed: 7258
Episode  186: fell        | Steps: 1260 | Distance:  12.52m | Reward:   53.8 | Corridor: holes+50%bumps+random | Seed: 7671
Episode  187: flipped     | Steps: 1786 | Distance:  18.20m | Reward:   82.2 | Corridor: holes+50%bumps+random | Seed: 1566
Episode  188: fell        | Steps: 2737 | Distance:  22.13m | Reward:  100.8 | Corridor: holes+50%bumps+random | Seed: 9356
Episode  189: flipped     | Steps:  969 | Distance:  10.22m | Reward:   42.3 | Corridor: holes+50%bumps+random | Seed: 9699
Episode  190: no_progress | Steps: 2250 | Distance:  11.33m | Reward:   45.9 | Corridor: holes+50%bumps+random | Seed: 55
Episode  191: flipped     | Steps:  470 | Distance:   5.21m | Reward:   17.3 | Corridor: holes+50%bumps+random | Seed: 1614
Episode  192: fell        | Steps:  954 | Distance:  10.07m | Reward:   41.5 | Corridor: holes+50%bumps+random | Seed: 9183
Episode  193: fell        | Steps: 1063 | Distance:  10.44m | Reward:   43.4 | Corridor: holes+50%bumps+random | Seed: 5346
Episode  194: fell        | Steps: 1429 | Distance:  14.53m | Reward:   63.8 | Corridor: holes+50%bumps+random | Seed: 8647
Episode  195: flipped     | Steps:  624 | Distance:   5.39m | Reward:   18.2 | Corridor: holes+50%bumps+random | Seed: 2088
Episode  196: flipped     | Steps: 1029 | Distance:   7.34m | Reward:   28.0 | Corridor: holes+50%bumps+random | Seed: 6901
Episode  197: flipped     | Steps: 1763 | Distance:  10.76m | Reward:   43.7 | Corridor: holes+50%bumps+random | Seed: 3434
Episode  198: no_progress | Steps: 1500 | Distance:   5.97m | Reward:   20.1 | Corridor: holes+50%bumps+random | Seed: 6653
Episode  199: flipped     | Steps: 2297 | Distance:  22.68m | Reward:  104.6 | Corridor: holes+50%bumps+random | Seed: 3137
Episode  200: flipped     | Steps: 1687 | Distance:  11.85m | Reward:   50.1 | Corridor: holes+50%bumps+random | Seed: 7057
Episode  201: fell        | Steps:  608 | Distance:   5.18m | Reward:   17.0 | Corridor: holes+50%bumps+random | Seed: 3576
Episode  202: fell        | Steps:  730 | Distance:   7.56m | Reward:   29.0 | Corridor: holes+50%bumps+random | Seed: 1556
Episode  203: fell        | Steps: 1098 | Distance:  13.67m | Reward:   59.5 | Corridor: holes+50%bumps+random | Seed: 9669
Episode  204: flipped     | Steps: 2372 | Distance:  16.34m | Reward:   72.3 | Corridor: holes+50%bumps+random | Seed: 3282
Episode  205: no_progress | Steps: 2250 | Distance:   9.62m | Reward:   36.5 | Corridor: holes+50%bumps+random | Seed: 1291
Episode  206: no_progress | Steps: 2250 | Distance:  10.85m | Reward:   40.2 | Corridor: holes+50%bumps+random | Seed: 1340
Episode  207: fell        | Steps: 1255 | Distance:  10.59m | Reward:   43.9 | Corridor: holes+50%bumps+random | Seed: 1504
Episode  208: fell        | Steps: 1241 | Distance:  12.55m | Reward:   53.9 | Corridor: holes+50%bumps+random | Seed: 5758
Episode  209: flipped     | Steps: 1870 | Distance:  15.81m | Reward:   69.8 | Corridor: holes+50%bumps+random | Seed: 9440
Episode  210: fell        | Steps:  999 | Distance:   9.08m | Reward:   36.6 | Corridor: holes+50%bumps+random | Seed: 8092
Episode  211: no_progress | Steps: 1500 | Distance:   5.22m | Reward:   17.8 | Corridor: holes+50%bumps+random | Seed: 2833
Episode  212: no_progress | Steps: 3000 | Distance:  22.54m | Reward:  104.6 | Corridor: holes+50%bumps+random | Seed: 9834
Episode  213: fell        | Steps:  751 | Distance:   7.55m | Reward:   28.9 | Corridor: holes+50%bumps+random | Seed: 8947
Episode  214: fell        | Steps: 2415 | Distance:  21.57m | Reward:   98.6 | Corridor: holes+50%bumps+random | Seed: 2980
Episode  215: flipped     | Steps: 1068 | Distance:  11.23m | Reward:   47.4 | Corridor: holes+50%bumps+random | Seed: 2293
Episode  216: no_progress | Steps: 1500 | Distance:   5.84m | Reward:   19.7 | Corridor: holes+50%bumps+random | Seed: 6949
Episode  217: fell        | Steps: 2812 | Distance:  28.58m | Reward:  134.1 | Corridor: holes+50%bumps+random | Seed: 5850
Episode  218: no_progress | Steps: 3750 | Distance:  16.26m | Reward:   69.0 | Corridor: holes+50%bumps+random | Seed: 5689
